case_id,collision_date,collision_time,latitude,longitude,collision_severity,pcf_violation_category,timestamp,sensor_id,dist_to_sensor,paper_type
8340411,2017-03-04,22:06:00,37.43221,-121.89967,severe injury,traffic signals and signs,2017-03-04 22:06:00,407184,0.015582006706447857,Minor
8340415,2017-03-17,08:46:00,37.4265,-121.91301,pain,improper turning,2017-03-17 08:46:00,401464,0.0034661808954523673,Minor
8340419,2017-03-08,12:43:00,37.41319,-121.8839,other injury,traffic signals and signs,2017-03-08 12:43:00,407190,0.0039073424472426035,Minor
8340423,2017-03-20,18:18:00,37.41384,-121.88409,pain,speeding,2017-03-20 18:18:00,407152,0.004016865693543277,Minor
8340435,2017-03-24,16:28:00,37.43279,-121.89729,property damage only,speeding,2017-03-24 16:28:00,407184,0.013558138994704864,Minor
8340447,2017-03-30,03:17:00,37.40444,-121.90813,property damage only,improper turning,2017-03-30 03:17:00,402286,0.002201454064925488,Minor
8340462,2017-02-10,22:56:00,37.42777,-121.90836,other injury,speeding,2017-02-10 22:56:00,401464,0.008230837745940809,Minor
8340476,2017-03-09,13:41:00,37.42791,-121.91042,property damage only,dui,2017-03-09 13:41:00,401464,0.0064151048315653925,Minor
8340477,2017-01-31,18:05:00,37.32422,-122.00659,pain,pedestrian right of way,2017-01-31 18:05:00,400560,0.0037504349081267296,Minor
8340485,2017-03-07,22:25:00,37.41091,-121.89299,severe injury,other than driver (or pedestrian),2017-03-07 22:25:00,407190,0.0130905127859864,Minor
8340489,2017-03-12,16:14:00,37.4441,-121.87613,other injury,automobile right of way,2017-03-12 16:14:00,407150,0.018764432099057416,Minor
8340493,2017-03-10,23:57:00,37.42223,-121.92291,other injury,,2017-03-10 23:57:00,413845,0.0029120813862257506,Minor
8340497,2017-03-03,14:37:00,37.43608,-121.9069,pain,wrong side of road,2017-03-03 14:37:00,401489,0.013232561354488422,Minor
8340501,2017-03-15,07:41:00,37.41344,-121.88368,pain,speeding,2017-03-15 07:41:00,407190,0.003730327733595856,Minor
8340509,2017-03-18,21:32:00,37.41511,-121.90493,pain,dui,2017-03-18 21:32:00,400238,0.007622896562336386,Minor
8340513,2017-03-16,10:06:00,37.41343,-121.884,pain,traffic signals and signs,2017-03-16 10:06:00,407190,0.004042722473785328,Minor
8340521,2017-03-24,17:39:00,37.41079,-121.89334,pain,speeding,2017-03-24 17:39:00,407190,0.013453842759599046,Minor
8340537,2017-03-24,06:25:00,37.4171,-121.88871,other injury,unknown,2017-03-24 06:25:00,407185,0.007336370355975211,Minor
8340664,2017-03-14,09:15:00,37.43535,-121.88413,property damage only,unsafe starting or backing,2017-03-14 09:15:00,407184,0.007979369210653153,Minor
8340668,2017-03-13,15:29:00,37.41558,-121.9136,property damage only,traffic signals and signs,2017-03-13 15:29:00,400088,0.0010898114515742576,Minor
8340692,2017-03-19,11:53:00,37.43497,-121.88672,property damage only,unsafe starting or backing,2017-03-19 11:53:00,407184,0.007795118536615482,Minor
8340696,2017-03-23,17:54:00,37.40581,-121.90294,property damage only,speeding,2017-03-23 17:54:00,402286,0.0069020141987649756,Minor
8340700,2017-03-20,13:17:00,37.41258,-121.89922,property damage only,unknown,2017-03-20 13:17:00,402286,0.012588503485323203,Minor
8340702,2017-02-17,19:24:00,37.41153,-121.9214,property damage only,speeding,2017-02-17 19:24:00,400238,0.009238660725458385,Minor
8340704,2017-03-18,21:39:00,37.42769,-121.92439,property damage only,speeding,2017-03-18 21:39:00,413845,0.004991017731881226,Minor
8340712,2017-03-31,13:18:00,37.43665,-121.87956,property damage only,other hazardous violation,2017-03-31 13:18:00,407150,0.010568100680829914,Minor
8340895,2017-02-09,08:27:00,37.37829,-122.01263,pain,speeding,2017-02-09 08:27:00,400904,0.0169094137390971,Minor
8340907,2017-02-09,11:32:00,37.34652,-122.03213,other injury,speeding,2017-02-09 11:32:00,400823,0.01243598817947008,Minor
8342444,2017-03-02,13:11:00,37.42662,-121.91346,property damage only,improper turning,2017-03-02 13:11:00,401464,0.003145836931565714,Minor
8342448,2017-03-14,10:20:00,37.41439,-121.88092,property damage only,speeding,2017-03-14 10:20:00,407152,0.0016914638630486528,Minor
8342452,2017-03-22,07:08:00,37.43225,-121.89974,property damage only,unsafe lane change,2017-03-22 07:08:00,407184,0.01566094099981397,Minor
8342456,2017-03-25,18:27:00,37.43285,-121.89708,property damage only,speeding,2017-03-25 18:27:00,407184,0.013389982561598011,Minor
8342460,2017-03-13,12:30:00,37.43048,-121.90909,pain,,2017-03-13 12:30:00,401489,0.008422138683262243,Minor
8342464,2017-03-27,19:02:00,37.41562,-121.91088,property damage only,traffic signals and signs,2017-03-27 19:02:00,400088,0.001912445816228826,Minor
8342699,2017-02-09,07:30:00,37.37394,-121.9958,property damage only,improper turning,2017-02-09 07:30:00,400794,0.016613229066016137,Minor
8342703,2017-02-09,10:05:00,37.4062,-121.99219,property damage only,unsafe starting or backing,2017-02-09 10:05:00,400970,0.005382930986004227,Minor
8342715,2017-02-16,16:11:00,37.38692,-122.04339,property damage only,speeding,2017-02-16 16:11:00,404554,0.015069989316516366,Minor
8342913,2017-02-14,16:35:00,37.38854,-122.00289,property damage only,speeding,2017-02-14 16:35:00,402369,0.005757164753595673,Minor
8342917,2017-02-15,10:30:00,37.39723,-122.0305,property damage only,improper turning,2017-02-15 10:30:00,400743,0.002760110505035264,Minor
8342949,2017-02-12,16:34:00,37.35234,-122.02785,property damage only,dui,2017-02-12 16:34:00,400823,0.018231741606329274,Minor
8342957,2017-02-14,14:55:00,37.403,-122.01072,property damage only,speeding,2017-02-14 14:55:00,404585,0.003414678462168899,Minor
8343018,2017-02-15,08:20:00,37.39609,-121.99489,pain,unsafe lane change,2017-02-15 08:20:00,400168,0.004964648225205089,Minor
8343022,2017-02-16,14:00:00,37.40321,-121.99977,fatal,pedestrian right of way,2017-02-16 14:00:00,400687,0.005753615385127808,Minor
8343034,2017-02-10,19:02:00,37.38692,-122.04339,pain,speeding,2017-02-10 19:02:00,404554,0.015069989316516366,Minor
8343038,2017-02-13,08:13:00,37.39609,-121.99489,pain,automobile right of way,2017-02-13 08:13:00,400168,0.004964648225205089,Minor
8343216,2017-02-23,08:45:00,37.40622,-121.996,pain,automobile right of way,2017-02-23 08:45:00,400970,0.0034680867924579474,Minor
8343252,2017-02-20,22:50:00,37.38071,-122.05386,property damage only,improper passing,2017-02-20 22:50:00,407342,0.013838677393453026,Minor
8346408,2017-02-22,17:26:00,37.40548,-122.01095,pain,automobile right of way,2017-02-22 17:26:00,404585,0.0010479260470165354,Minor
8346416,2017-02-17,15:57:00,37.33766,-122.05496,pain,traffic signals and signs,2017-02-17 15:57:00,407331,0.004046303251129098,Minor
8346456,2017-02-23,12:10:00,37.37498,-122.01222,pain,automobile right of way,2017-02-23 12:10:00,402369,0.019999662647151552,Minor
8348001,2017-02-28,12:10:00,37.27155,-122.01426,pain,speeding,2017-02-28 12:10:00,400097,0.008305104454495567,Minor
